,Normal_accuracy,Normal_f1_score,Normal_precision,Normal_recall,SMOTE_accuracy,SMOTE_f1_score,SMOTE_precision,SMOTE_recall,SG_accuracy,SG_f1_score,SG_precision,SG_recall,G_accuracy,G_f1_score,G_precision,G_recall,Smote_hell,Gan_hell,SG_hell,Smote_time(ms),Gan_time,SG_time
0,0.6907037358818419,0.690988278352684,0.6931121394834331,0.6907037358818419,0.7160392798690671,0.7147232061464146,0.7201008645533141,0.7160392798690671,0.6955810147299509,0.6951105983983689,0.6967955646237235,0.6955810147299509,0.7086743044189853,0.7080165378006873,0.7105717691515501,0.7086743044189853,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
1,0.6863596872284969,0.6866368205549901,0.6890126387137743,0.6863596872284969,0.7176759410801964,0.7166648184924947,0.7208281701776126,0.7176759410801964,0.704582651391162,0.7039829989283742,0.7062539157862899,0.704582651391162,0.7152209492635024,0.7145327465422197,0.717316571144187,0.7152209492635024,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
2,0.6889661164205039,0.6892254146669908,0.6918822836667078,0.6889661164205039,0.704582651391162,0.703524636161712,0.7075452727233201,0.704582651391162,0.7086743044189853,0.7081043071241465,0.7103170853525196,0.7086743044189853,0.7144026186579379,0.7138643720961437,0.716028090858056,0.7144026186579379,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
3,0.6880973066898349,0.6883629913265499,0.6909242685051292,0.6880973066898349,0.7135842880523732,0.7118794326241135,0.7187620889748548,0.7135842880523732,0.6947626841243862,0.6942300945271396,0.6961291540785499,0.6947626841243862,0.7062193126022913,0.7056229823138125,0.7079039471125802,0.7062193126022913,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
4,0.6924413553431799,0.692729436017109,0.6946897986186247,0.6924413553431799,0.707037643207856,0.7057766443111904,0.7106488862725219,0.707037643207856,0.6955810147299509,0.6949403683392521,0.6972378675527101,0.6955810147299509,0.6939443535188216,0.6933891505320078,0.6953593602020415,0.6939443535188216,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
5,0.682015638575152,0.6823168766006642,0.6841044188237816,0.682015638575152,0.7193126022913257,0.7178157797117607,0.7240667761357417,0.7193126022913257,0.704582651391162,0.7040258977842634,0.7061336744828778,0.704582651391162,0.7021276595744681,0.701256205807131,0.7045139782906238,0.7021276595744681,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
6,0.685490877497828,0.6857530729314265,0.6884007460545718,0.685490877497828,0.720949263502455,0.7193931594750986,0.7259615384615384,0.720949263502455,0.704582651391162,0.7043401098750116,0.7052561704506364,0.704582651391162,0.6963993453355155,0.6956409363014522,0.6983766233766233,0.6963993453355155,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
7,0.6880973066898349,0.6883870869020801,0.6904228976028359,0.6880973066898349,0.7144026186579379,0.7132039893937162,0.7180478369837637,0.7144026186579379,0.693126022913257,0.6926318161787344,0.6943761457996334,0.693126022913257,0.7086743044189853,0.7079702809454891,0.7107061811474057,0.7086743044189853,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
8,0.6880973066898349,0.6883870869020801,0.6904228976028359,0.6880973066898349,0.7021276595744681,0.7007803250457432,0.7058350177442806,0.7021276595744681,0.7086743044189853,0.7080612127117575,0.7104420762591678,0.7086743044189853,0.704582651391162,0.7040671960436927,0.7060180189900733,0.704582651391162,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
9,0.6907037358818419,0.6909723487427726,0.6934480347263583,0.6907037358818418,0.70949263502455,0.7080802310002496,0.713627026790787,0.70949263502455,0.6972176759410802,0.6967497887295604,0.6984423894322901,0.6972176759410802,0.7037643207855974,0.7030954682130583,0.7056171392891606,0.7037643207855974,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
10,0.6915725456125109,0.6918450728449348,0.6942322274803171,0.6915725456125109,0.7225859247135843,0.7212371783354498,0.7269787159652114,0.7225859247135843,0.7004909983633388,0.6999049899085327,0.7020693565151659,0.7004909983633388,0.7078559738134206,0.707262965699251,0.7095539784388706,0.7078559738134206,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
11,0.6880973066898349,0.6883913551294522,0.6902650340300863,0.6880973066898349,0.7103109656301145,0.7090640561065961,0.713979303446791,0.7103109656301145,0.6947626841243862,0.6942300945271396,0.6961291540785499,0.6947626841243862,0.7111292962356792,0.7106252637213949,0.7126105955977557,0.7111292962356792,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
12,0.6959165942658557,0.6962033786881671,0.6975653778614034,0.6959165942658557,0.7086743044189853,0.7074203502088934,0.7123140948596565,0.7086743044189853,0.6963993453355155,0.6957373484515464,0.6981236083789101,0.6963993453355155,0.7062193126022913,0.7053335079712116,0.7087291775117126,0.7062193126022913,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
13,0.685490877497828,0.6857530729314265,0.6884007460545718,0.685490877497828,0.7160392798690671,0.7145926372150783,0.7205100723987838,0.7160392798690671,0.707037643207856,0.7064644436810238,0.7086675395850488,0.707037643207856,0.7152209492635024,0.7146216348980101,0.7170441806123964,0.7152209492635024,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
14,0.680278019113814,0.6805721529038979,0.6826778279640248,0.680278019113814,0.7127659574468085,0.7116209647326966,0.716199590627994,0.7127659574468085,0.707037643207856,0.7063296645463064,0.7090535836482105,0.707037643207856,0.7119476268412439,0.7113840340103921,0.713616176887461,0.7119476268412439,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
15,0.6950477845351868,0.6953376129159496,0.6970634221659747,0.6950477845351868,0.7144026186579379,0.7130140862509498,0.718633910231196,0.7144026186579379,0.7021276595744681,0.7013588999892577,0.7042305745689177,0.7021276595744681,0.7004909983633388,0.6997671989495758,0.702443193651429,0.7004909983633388,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
16,0.7072111207645526,0.7074220119999538,0.7106349915948158,0.7072111207645526,0.7144026186579379,0.713379772909799,0.7175074458140395,0.7144026186579379,0.6980360065466449,0.6975091283659907,0.6994254423823909,0.6980360065466449,0.7062193126022913,0.7053335079712116,0.7087291775117126,0.7062193126022913,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
17,0.6915725456125109,0.691777458363577,0.6951446136711815,0.6915725456125109,0.7193126022913257,0.7182512928029877,0.7226676384839651,0.7193126022913257,0.7004909983633388,0.7000281693919436,0.7017360390494236,0.7004909983633388,0.7037643207855974,0.7027890651874785,0.706474386639198,0.7037643207855974,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
18,0.687228496959166,0.6874618168868367,0.6905030523016904,0.687228496959166,0.7144026186579379,0.7129476380059433,0.718839541547278,0.7144026186579379,0.6988543371522095,0.6982205794323786,0.7005389197293245,0.6988543371522095,0.7078559738134206,0.7073053892215568,0.7094318132746038,0.7078559738134206,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
19,0.687228496959166,0.6874065310949053,0.6910804966583795,0.687228496959166,0.7037643207855974,0.7022898091915407,0.7078827628612421,0.7037643207855974,0.7119476268412439,0.7115388742247688,0.7131558033970448,0.7119476268412439,0.707037643207856,0.7062318525263432,0.709334416683594,0.707037643207856,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
20,0.687228496959166,0.687445274338149,0.6906908320650488,0.687228496959166,0.70949263502455,0.7084522045357554,0.7125263592686797,0.70949263502455,0.7078559738134206,0.7074231678486999,0.7090932117527863,0.7078559738134206,0.7021276595744681,0.7014078153487584,0.7040957911506243,0.7021276595744681,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
21,0.68375325803649,0.6840279071414866,0.6864874173999006,0.68375325803649,0.7193126022913257,0.7178826356333482,0.7238511341017958,0.7193126022913257,0.7029459901800328,0.7022519084738049,0.704856154012546,0.7029459901800328,0.7127659574468085,0.7114983759583997,0.7165721452721125,0.7127659574468085,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
22,0.685490877497828,0.6857530729314265,0.6884007460545718,0.685490877497828,0.7127659574468085,0.711019437982185,0.7180369809166173,0.7127659574468085,0.7054009819967266,0.7048665620094192,0.7068995755726262,0.7054009819967266,0.7086743044189853,0.7078730153613916,0.7109892342067844,0.7086743044189853,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
23,0.6768027801911382,0.6771055090349282,0.6790427237276874,0.6768027801911382,0.7119476268412439,0.7108291182299524,0.7152784012841965,0.7119476268412439,0.6914893617021277,0.6909510606882886,0.6928328657747087,0.6914893617021277,0.6988543371522095,0.6980771296594694,0.7009231968431052,0.6988543371522095,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
24,0.6933101650738488,0.6935310689495067,0.6966950713523127,0.6933101650738488,0.7152209492635024,0.7141151509773394,0.7186031642383925,0.7152209492635024,0.7029459901800328,0.701882113370364,0.7058849105415335,0.7029459901800328,0.6996726677577741,0.6988723003528468,0.7018183196517144,0.699672667757774,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
25,0.6863596872284969,0.6866448972647554,0.6888460707931432,0.6863596872284969,0.7119476268412439,0.7103056262711979,0.7168644153736944,0.7119476268412439,0.7111292962356792,0.7105848806588504,0.7127299520663298,0.7111292962356792,0.704582651391162,0.7036919119153409,0.7070725967378101,0.704582651391162,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
26,0.6898349261511729,0.6900217831605693,0.6935973988697547,0.6898349261511729,0.7103109656301145,0.7087310393863656,0.7149753163153268,0.7103109656301145,0.7037643207855974,0.7033065500543266,0.705029688666557,0.7037643207855974,0.7037643207855974,0.7028976552257732,0.7061699619205074,0.7037643207855974,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
27,0.6907037358818419,0.6909344633658718,0.6939873015075568,0.6907037358818419,0.70949263502455,0.7080126403785383,0.7138279489927601,0.70949263502455,0.6947626841243862,0.6944186891552242,0.6956436336239371,0.6947626841243862,0.7062193126022913,0.7054363918982888,0.7084353137386559,0.7062193126022913,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
28,0.6933101650738488,0.6934949284472854,0.6970855147684651,0.6933101650738488,0.7176759410801964,0.7159592766491563,0.7230686035531546,0.7176759410801964,0.6996726677577741,0.6992277383766746,0.7008611955420466,0.6996726677577741,0.70949263502455,0.7086683603537536,0.711890673429135,0.70949263502455,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
29,0.6794092093831451,0.6797070614675976,0.6817288844041793,0.6794092093831451,0.7242225859247136,0.7229444393986793,0.7284380185136671,0.7242225859247136,0.7062193126022913,0.7054363918982888,0.7084353137386559,0.7062193126022913,0.7021276595744681,0.7012024236561741,0.7046626362568722,0.7021276595744681,0.3797587718332571,0.35337334340623533,0.3532095402238085,56.703,19995.13,21188.426
